timestamp,src_addr,dst_addr,protocol,src_port,dst_port,bytes,cpu_usage,memory_usage,disk_io,network_io,action,log_status,label,iso_forest_anomaly,svm_anomaly,rf_anomaly
2024-05-18 22:54:28.622155,197.25.206.59,235.145.238.223,6,25,22,2934,34.91343230048024,21.065609185266503,318,456,ACCEPT,OK,0,0,0,0
2024-05-18 22:26:39.622155,222.112.216.217,205.70.179.181,17,80,25,4127,43.8798220205923,27.79925767526889,346,288,ACCEPT,OK,0,0,0,0
2024-05-18 22:49:58.622155,236.214.243.92,186.79.75.41,17,21,25,2175,34.84523038703251,33.12702303140087,406,328,ACCEPT,OK,0,0,0,0
2024-05-18 22:18:40.622155,101.136.119.181,201.77.164.86,17,443,80,3635,37.90165607434648,24.606373727908903,454,228,ACCEPT,OK,0,0,0,0
2024-05-18 22:45:22.622155,227.101.193.222,241.54.18.103,6,25,22,1825,3.440078125427698,49.34876914178188,453,347,ACCEPT,OK,0,0,1,0
2024-05-18 22:36:50.622155,192.101.4.137,116.138.225.220,6,443,53,2152,46.71746860095127,36.56450950727425,375,125,ACCEPT,OK,0,0,0,0
2024-05-18 23:11:41.622155,230.211.143.168,170.115.20.53,6,80,25,2647,17.943652491772134,34.31794690901388,300,281,ACCEPT,OK,0,0,0,0
2024-05-18 22:21:09.622155,51.178.31.67,252.44.232.134,6,22,21,1525,9.205266458860756,8.328068608001448,358,225,ACCEPT,OK,0,0,0,0
2024-05-18 22:28:22.622155,41.238.53.192,250.40.9.122,17,22,80,1567,21.30278160069122,17.026493684573275,219,262,ACCEPT,OK,0,0,0,0
2024-05-18 22:56:52.622155,48.152.110.196,158.37.163.110,6,25,80,2864,3.333881821598256,25.954743157474713,292,217,ACCEPT,OK,0,0,0,0
2024-05-18 22:32:57.622155,99.227.199.168,57.195.255.138,17,22,22,4787,8.89149403207597,29.41847900385372,355,179,ACCEPT,OK,0,0,0,0
2024-05-18 23:07:30.622155,249.101.160.38,253.29.193.184,17,25,25,968,22.43776492640597,32.38067952147329,149,371,ACCEPT,OK,0,0,0,0
2024-05-18 22:37:31.622155,187.95.200.162,66.108.20.244,17,25,21,4776,46.50177949872102,32.17024212308078,336,463,ACCEPT,OK,0,0,0,0
2024-05-18 23:14:27.622155,233.215.53.51,42.95.234.209,6,80,22,2878,28.77710113621387,49.17326046518523,412,117,ACCEPT,OK,0,0,0,0
2024-05-18 22:33:10.622155,24.138.41.207,207.205.187.64,17,53,21,3242,44.58474691428705,22.88687065063978,202,233,ACCEPT,OK,0,0,0,0
2024-05-18 22:32:58.622155,176.103.174.32,150.221.40.230,17,21,443,4276,30.38893715198816,10.44550879471795,178,227,ACCEPT,OK,0,0,0,0
2024-05-18 23:10:50.622155,9.63.39.60,186.86.98.131,6,25,80,1862,48.771029084119846,30.766170038911856,448,411,ACCEPT,OK,0,0,0,0
2024-05-18 22:47:53.622155,60.100.4.58,158.74.72.246,17,25,22,2136,15.71144407780622,45.1754963292655,216,288,ACCEPT,OK,0,0,0,0
2024-05-18 22:28:19.622155,24.208.240.183,144.32.14.117,17,22,25,1259,33.51248408783356,39.4619059970745,282,173,ACCEPT,OK,0,0,0,0
2024-05-18 23:13:02.622155,166.207.209.84,230.80.46.93,17,80,53,675,32.51434123196135,47.34490467989511,283,439,ACCEPT,OK,0,0,0,0
2024-05-18 22:28:33.622155,52.7.171.48,195.238.226.59,6,53,21,3790,13.517431164445354,9.809768214439924,436,134,ACCEPT,OK,0,0,0,0
2024-05-18 22:56:16.622155,95.88.228.253,224.135.96.206,6,25,21,1958,32.62903285084543,26.806980088077182,306,257,ACCEPT,OK,0,0,0,0
2024-05-18 22:52:10.622155,110.87.248.197,3.244.65.148,6,25,25,4970,26.8129004534871,32.24183571415371,499,420,ACCEPT,OK,0,0,0,0
2024-05-18 22:25:43.622155,202.105.109.73,52.146.231.55,6,53,21,2411,5.451516591127003,23.7000094785096,462,312,ACCEPT,OK,0,0,0,0
2024-05-18 22:51:43.622155,163.130.237.26,75.244.250.221,6,25,21,3007,21.302923219507953,11.295399245444807,237,178,ACCEPT,OK,0,0,0,0
2024-05-18 22:30:37.622155,227.124.126.8,15.12.179.44,6,21,22,1022,0.4004256420327257,35.30721349206462,295,349,ACCEPT,OK,0,0,1,0
2024-05-18 22:58:48.622155,142.111.169.235,128.217.185.160,17,443,443,4846,7.055422524379884,23.144681843008502,131,216,ACCEPT,OK,0,0,0,0
2024-05-18 22:44:59.622155,59.91.101.38,101.14.48.6,17,25,21,2201,14.37218023313635,8.460186704972294,109,441,ACCEPT,OK,0,0,0,0
2024-05-18 22:50:12.622155,121.22.138.244,117.218.82.70,17,443,21,3825,30.31633118423529,24.96454314609319,177,409,ACCEPT,OK,0,0,0,0
2024-05-18 22:32:26.622155,199.12.223.187,202.47.109.210,6,25,53,3650,22.923099584566938,31.41212624429809,113,210,ACCEPT,OK,0,0,0,0
2024-05-18 23:06:06.622155,32.105.229.69,222.70.88.81,6,22,80,3394,28.439417952103813,34.23413938048993,208,269,ACCEPT,OK,0,0,0,0
2024-05-18 23:13:05.622155,73.237.99.29,48.219.134.228,6,22,443,4650,47.1947004550596,27.78065784614246,490,371,ACCEPT,OK,0,0,0,0
2024-05-18 22:49:42.622155,104.206.150.142,204.198.7.9,17,443,25,4422,2.4211320751827636,28.75080649122103,346,204,ACCEPT,OK,0,0,0,0
2024-05-18 23:02:42.622155,94.111.63.254,183.193.3.52,17,22,53,3856,8.39393833566302,1.3205515711738114,227,317,ACCEPT,OK,0,0,1,0
2024-05-18 22:19:00.622155,229.182.78.85,131.150.83.208,6,22,53,1202,14.75371783595235,41.19425024783998,381,224,ACCEPT,OK,0,0,0,0
2024-05-18 22:54:27.622155,56.82.228.78,14.250.89.60,17,21,53,2428,41.741718220875704,4.025260959901933,214,432,ACCEPT,OK,0,0,0,0
2024-05-18 22:53:35.622155,171.61.0.228,87.100.56.142,6,22,53,2983,22.77024877413242,45.09571150682729,335,349,ACCEPT,OK,0,0,0,0
2024-05-18 22:42:34.622155,178.220.89.57,111.85.254.196,6,21,21,2384,41.27730043506758,18.92977709717775,414,123,ACCEPT,OK,0,0,0,0
2024-05-18 23:01:17.622155,160.223.254.90,12.202.38.144,6,25,25,3247,45.69067422981885,26.216662231725447,172,364,ACCEPT,OK,0,0,0,0
2024-05-18 22:28:38.622155,129.9.71.212,206.98.117.228,17,53,53,2751,45.32067447423096,9.629096638698387,419,313,ACCEPT,OK,0,0,0,0
2024-05-18 22:32:10.622155,15.165.37.221,228.166.55.182,6,21,21,1751,11.122703880905638,47.81956909832286,190,411,ACCEPT,OK,0,0,1,0
2024-05-18 22:54:27.622155,222.226.189.31,37.249.150.137,6,80,80,3879,38.87851225474284,30.770377544532295,477,140,ACCEPT,OK,0,0,0,0
2024-05-18 23:05:52.622155,129.251.160.248,90.98.234.212,6,53,21,3282,10.123078317194985,17.21088281906255,320,396,ACCEPT,OK,0,0,0,0
2024-05-18 22:49:35.622155,126.6.163.213,67.247.240.70,6,21,53,3082,5.057596243843565,3.344772385821626,485,150,ACCEPT,OK,0,0,1,0
2024-05-18 22:22:13.622155,49.154.56.193,249.16.24.83,17,21,443,665,10.993515509107388,11.356605006948412,367,452,ACCEPT,OK,0,0,0,0
